id,latitude,longitude,elevation
2717,68.1697,25.7831,275
23552,64.9167,77.8167,27
D1210,51.4505,13.5046,90
53587,39.38,111.14,861
EZ3MP,53.02,-110.1,669
48601,5.3,100.2667,3
71461,48.3,-88.8667,218
99541,42.4,-80.5,187
43352,9.55,76.4167,2
42557,24,76.7167,380
64758,12.1833,18.6833,427
KVJI0,36.6871,-82.0333,636
35791,47.2,73.35,581
D4036,51.3895,11.5412,204
8482,36.6667,-4.4833,16
70231,62.95,-155.6,103
54195,43.3167,129.75,244
14543,44.35,17.2667,428
40595,28.8167,48.7667,5
KAFP0,35.0206,-80.0771,91
93210,-38.3333,175.1667,52
42027,34.0833,74.8333,1585
A17NI,49.04,-118.49,623
72616,44.5833,-71.0167,353
30364,56.5,115.6667,474
68416,-29.1333,19.3833,989
26078,59.35,31.2333,40
93228,-39.1272,175.7917,710
47616,36.05,136.2333,9
10616,49.95,7.2667,491
PAPM0,59.0115,-161.8194,6
KOEB0,41.9336,-85.0523,292
92090,-11.3167,154.2333,10
UADD0,42.85,71.3,664
RBQXQ,61.178,8.113,956
60265,30.9333,-6.9,1139
4030,64.1333,-21.9,54
99429,29.2667,-89.9667,2
VAIFP,36.4135,-85.31044,419
41404,15.5167,44.1833,2206
OEPS0,24.0627,47.5805,503
3075,58.45,-3.0833,39
74492,42.2167,-71.1167,195
EFM8T,51.66,-112.68,836
47167,34.8333,127.6167,21
16164,43.4,10.8667,555
55680,29,89.6333,3657
89799,-89,90.1333,2935
TOFHW,38.71667,-77.18333,23
1023,69.0667,18.5333,7
89063,-65.25,-64.2667,11
91657,-16.4667,179.35,9
40367,27.4,44.3167,476
46762,22.0333,121.55,325
89004,-71.7,-2.8,815
71145,53.85,-94.65,236
83064,-10.5167,-48.7167,239
KSEQ0,29.5658,-97.9083,160
D1689,49.7656,11.3061,443
3724,51.38,-2.72,189
KERN5,64.12,-117.31,221
85141,-14.4667,-67.5667,204
D3527,50.8923,9.405,500
94286,-17.0667,145.4167,475
78808,8.9833,-79.55,66
81901,-7.3372,-47.4597,192
41116,18.0833,43.1333,2381
11148,47.1,13.65,1094
78343,22.4333,-79.9833,0
13571,42,20.9667,462
27373,57.6667,46.6333,176
36046,51.9667,84.95,260
94201,-16.5,123,12
72530,41.9833,-87.9167,204
93128,-37.0494,175.9444,103
17020,41.6333,32.3333,30
99366,-21.3,118.9,210
3100,56.5,-6.8833,12
99217,51.9,-155.9,3
27113,59.25,37.9667,131
83824,-23.2667,-47.2833,616
15476,44.1167,26.3333,4
15041,47.5667,27.2,61
ZBTJ0,39.1833,117.35,3
2121,66.6817,16.1089,614
KASN0,33.5695,-86.0512,161
1306,60.75,4.7167,23
94697,-32.9,144.2833,85
94667,-33.9667,137.7167,44
94067,-10,149.9167,65
80342,1.4167,-77.2667,1826
15080,47.05,21.9333,135
94916,-35.9333,148.3833,1475
67791,-15.9167,35.0667,1145
FYAB0,-26.7761,19.6331,986
KPIE0,27.91,-82.6874,3
W1FC7,51.18,-104.87,584
6VEFW,49.28,-112.16,1004
71635,53.5667,-114.15,783
80222,4.7167,-74.15,2547
10521,50.9333,8.2,635
D7333,50.5803,13.2966,727
47853,33.8333,130.95,3
D1584,47.9242,8.6473,672
70489,53.9,-166.5333,7
43213,15.8,78.0667,280
38002,44.7333,51.9667,56
16648,39.6333,22.4167,73
71158,52.36,-97.02,222
14307,45.9,13.9167,63
94775,-32.6,151.6,30
42189,28.3667,79.4,167
P9C6E,60.117,10.829,170
33868,46.8333,33.4167,45
KLUK0,39.1033,-84.4186,147
13006,46.2667,13.8333,1535
SBGU0,-25.3875,-51.5202,1065
XM44W,48.76,-86.35,315
D2152,51.0423,10.1469,380
33356,50.2167,31.8,125
KOIN0,39.8339,-100.5393,824
59858,19.23,110.47,25
86821,-20.0314,-44.0111,1208
83436,-16.7,-43.8167,668
15099,46.8667,23.05,561
69758,36.23,43.12,247
7280,47.2667,5.0833,222
70252,62.3,-150.4167,137
35188,51.1333,71.3667,348
95351,-24.4,145.4,283
37984,38.7667,48.4,1115
6VENF,52.33,-109.95,671
95662,-32.8,135.2,165
38848,38.25,69.5167,908
KMSL0,34.7453,-87.6102,168
86637,-11.6647,-39.0231,339
FAVF0,-31.1658,23.8094,1329
78360,19.85,-77.2333,10
94475,-26.0667,135.25,161
9ZCWM,59.75,10.027,4
PASD0,55.3137,-160.5214,6
94397,-22.0644,148.0761,235
2UCSD,45.32,-74.17,49
74755,31.1333,-92.5667,67
38616,40.7,72.9,867
94234,-16.3,133.4,210
94789,-30.3,152.7,746
1231,62.2333,8.3667,621
66310,-12.5833,13.4167,33
3025,58.5167,-6.2667,23
KDLO0,35.7456,-119.2365,96
65046,12.05,8.5333,476
3529,52.15,-2.0333,32
16260,41.4333,15.5333,80
RR9X4,49.47,-114.18,1257
71141,53.9667,-97.8333,223
15298,45.25,24.25,1640
KBQK0,31.259,-81.4663,8
57882,26.8,113.55,0
EDWR0,53.5964,6.7092,1
68818,-33.35,20.05,778
10365,52.3833,12.1667,35
89768,-78.55,166.7,920
56021,34.1333,95.7833,4176
KRNV0,33.7611,-90.7579,42
47164,35.1,126.2833,23
82296,-3.4167,-42.2833,49
KCWV0,32.1951,-81.8696,34
48649,3.05,103.0833,33
15399,44.65,24.26,280
1VZ66,46.43,-62.72,10
54776,37.4,122.6833,47
3408,52.95,-3.4167,228
72505,40.7953,-73.1002,30
42426,26.2667,94.8167,1608
71182,53.55,-64.1,440
69669,37.1667,-5.6167,87
11018,48.1167,14.8667,274
EDMW0,48.8311,12.8814,314
99148,-43.1,145.9,253
82862,-8.3333,-49.3,194
14122,45.8989,15.5233,154
68835,-33.7653,24.8233,97
D4559,49.1643,12.6175,399
D5086,51.5776,9.4335,133
43318,11.35,76.8,1745
86966,-28.5136,-50.8828,986
99534,46.8,-48,-9999
1445,59.45,8,77
59065,24.4667,111.5667,91
3F7AE,49.687,7.6528,160
D6200,50.0786,10.4887,259
38618,40.3667,71.75,577
OLH11,45.96,-66.65,8
94109,11.5,10.9,0
ZUQJS,45.1357,-87.1881,234
1IOQP,59.177,9.63,9
86655,-12.1167,-40.35,380
72693,44.1333,-123.2167,111
16126,44.5522,8.9375,487
99667,53.2,3.2,-9999
78075,25.4833,-76.6667,3
61612,16.65,-14.9667,6
TZY2W,49.0495,9.3923,468
2770,61.85,24.2833,153
43149,17.7167,83.2333,3
FTTH0,9.4,16.3,357
37187,43.1,40.6333,11
65522,10.3333,-3.1833,333
D4617,47.6699,11.8544,1369
99430,48.3833,-124.7333,31
32076,50.4,143.7667,8
81830,-5.1861,-40.6717,291
68330,-26.8833,22.05,932
GU5EC,-38.6,146.7,13
56444,28.5,98.9,3488
D7326,51.1918,12.7645,134
15287,45.5,27.5,18
6249,52.6428,4.9789,-2
